
            P L A N E   S T R E S S                           



xzy 18/12/29                                                                    


 npoin = 273     nelem = 240     nvfix =  26     ntype =   1
    77        1        100   99   82   83
    78        1         84  101  100   83
    79        1        102  101   84   85
    80        1         86  103  102   85
    81        1        104   87   88  105
    82        1         88   89  106  105
    83        1        106   89   90  107
    84        1         91  108  107   90
    85        1        108   91   92  109
    86        1         92   93  110  109
    87        1        110   93   94  111
    88        1         95  112  111   94
    89        1        112   95   96  113
    90        1         96   97  114  113
    91        1        114   97   98  115
    92        1         99  116  115   98
    93        1        116   99  100  117
    94        1        100  101  118  117
    95        1        118  101  102  119
    96        1        103  120  119  102
    97        1        122  121  104  105
    98        1        123  122  105  106
    99        1        124  123  106  107
   100        1        108  125  124  107
   101        1        126  125  108  109
   102        1        127  126  109  110
   103        1        128  127  110  111
   104        1        112  129  128  111
   105        1        130  129  112  113
   106        1        131  130  113  114
   107        1        132  131  114  115
   108        1        116  133  132  115
   109        1        134  133  116  117
   110        1        135  134  117  118
   111        1        136  135  118  119
   112        1        120  137  136  119
   113        1        121  122  139  138
   114        1        122  123  140  139
   115        1        123  124  141  140
   116        1        124  125  142  141
   117        1        125  126  143  142
   118        1        126  127  144  143
   119        1        127  128  145  144
   120        1        128  129  146  145
   121        1        129  130  147  146
   122        1        130  131  148  147
   123        1        131  132  149  148
   124        1        132  133  150  149
   125        1        133  134  151  150
   126        1        134  135  152  151
   127        1        135  136  153  152
   128        1        136  137  154  153
   129        1        156  155  138  139
   130        1        140  157  156  139
   131        1        158  157  140  141
   132        1        142  159  158  141
   133        1        160  159  142  143
   134        1        144  161  160  143
   135        1        162  161  144  145
   136        1        146  163  162  145
   137        1        164  163  146  147
   138        1        148  225  164  147
   139        1        232  225  148  149
   140        1        150  233  232  149
   141        1        234  233  150  151
   142        1        152  235  234  151
   143        1        236  235  152  153
   144        1        154  237  236  153
   145        1        165  155  156  166
   146        1        156  157  167  166
   147        1        167  157  158  168
   148        1        159  169  168  158
   149        1        169  159  160  170
   150        1        160  161  171  170
   151        1        171  161  162  172
   152        1        163  173  172  162
   153        1        173  163  164  174
   154        1        164  225  226  174
   155        1        176  175  165  166
   156        1        177  176  166  167
   157        1        178  177  167  168
   158        1        169  179  178  168
   159        1        180  179  169  170
   160        1        181  180  170  171
   161        1        182  181  171  172
   162        1        173  183  182  172
   163        1        184  183  173  174
   164        1        227  184  174  226
   165        1        175  176  186  185
   166        1        176  177  187  186
   167        1        177  178  188  187
   168        1        178  179  189  188
   169        1        179  180  190  189
   170        1        180  181  191  190
   171        1        181  182  192  191
   172        1        182  183  193  192
   173        1        183  184  194  193
   174        1        184  227  228  194
   175        1        196  195  185  186
   176        1        187  197  196  186
   177        1        198  197  187  188
   178        1        189  199  198  188
   179        1        200  199  189  190
   180        1        191  201  200  190
   181        1        202  201  191  192
   182        1        193  203  202  192
   183        1        204  203  193  194
   184        1        228  229  204  194
   185        1        205  195  196  207
   186        1        196  197  209  207
   187        1        209  197  198  211
   188        1        199  213  211  198
   189        1        213  199  200  215
   190        1        200  201  217  215
   191        1        217  201  202  219
   192        1        203  221  219  202
   193        1        221  203  204  223
   194        1        204  229  230  223
   195        1        208  206  205  207
   196        1        210  208  207  209
   197        1        212  210  209  211
   198        1        213  214  212  211
   199        1        216  214  213  215
   200        1        218  216  215  217
   201        1        220  218  217  219
   202        1        221  222  220  219
   203        1        224  222  221  223
   204        1        231  224  223  230
   205        1        226  225  232  238
   206        1        239  227  226  238
   207        1        227  239  240  228
   208        1        241  229  228  240
   209        1        230  229  241  242
   210        1        243  231  230  242
   211        1        233  244  238  232
   212        1        244  233  234  245
   213        1        234  235  246  245
   214        1        246  235  236  247
   215        1        237  248  247  236
   216        1        244  249  239  238
   217        1        239  249  250  240
   218        1        250  251  241  240
   219        1        251  252  242  241
   220        1        252  253  243  242
   221        1        254  249  244  245
   222        1        255  254  245  246
   223        1        256  255  246  247
   224        1        248  257  256  247
   225        1        249  254  258  250
   226        1        259  251  250  258
   227        1        252  251  259  260
   228        1        261  253  252  260
   229        1        254  255  262  258
   230        1        255  256  263  262
   231        1        256  257  264  263
   232        1        262  265  259  258
   233        1        259  265  268  260
   234        1        269  261  260  268
   235        1        266  265  262  263
   236        1        264  267  266  263
   237        1        268  265  266  270
   238        1        267  272  270  266
   239        1        271  269  268  270
   240        1        272  273  271  270


 Node          X          Y
     1   1.000000E+00   0.000000E+00
     2   1.250000E+00   0.000000E+00
     3   1.000000E+00   2.500000E-01
     4   1.250000E+00   2.500000E-01
     5   1.500000E+00   0.000000E+00
     6   1.500000E+00   2.500000E-01
     7   1.750000E+00   0.000000E+00
     8   1.750000E+00   2.500000E-01
     9   2.000000E+00   0.000000E+00
    10   2.000000E+00   2.500000E-01
    11   2.250000E+00   0.000000E+00
    12   2.250000E+00   2.500000E-01
    13   2.500000E+00   0.000000E+00
    14   2.500000E+00   2.500000E-01
    15   2.750000E+00   0.000000E+00
    16   2.750000E+00   2.500000E-01
    17   3.000000E+00   0.000000E+00
    18   3.000000E+00   2.500000E-01
    19   3.250000E+00   0.000000E+00
    20   3.250000E+00   2.500000E-01
    21   3.500000E+00   0.000000E+00
    22   3.500000E+00   2.500000E-01
    23   3.750000E+00   0.000000E+00
    24   4.000000E+00   0.000000E+00
    25   3.750000E+00   2.500000E-01
    26   4.000000E+00   2.500000E-01
    27   1.000000E+00   5.000000E-01
    28   1.250000E+00   5.000000E-01
    29   1.500000E+00   5.000000E-01
    30   1.750000E+00   5.000000E-01
    31   2.000000E+00   5.000000E-01
    32   2.250000E+00   5.000000E-01
    33   2.500000E+00   5.000000E-01
    34   2.750000E+00   5.000000E-01
    35   3.000000E+00   5.000000E-01
    36   3.250000E+00   5.000000E-01
    37   3.500000E+00   5.000000E-01
    38   3.750000E+00   5.000000E-01
    39   4.000000E+00   5.000000E-01
    40   4.000000E+00   7.500000E-01
    41   3.750000E+00   7.500000E-01
    42   3.500000E+00   7.500000E-01
    43   3.250000E+00   7.500000E-01
    44   3.000000E+00   7.500000E-01
    45   2.750000E+00   7.500000E-01
    46   2.500000E+00   7.500000E-01
    47   2.250000E+00   7.500000E-01
    48   2.000000E+00   7.500000E-01
    49   1.750000E+00   7.500000E-01
    50   1.500000E+00   7.500000E-01
    51   1.250000E+00   7.500000E-01
    52   1.000000E+00   7.500000E-01
    53   4.000000E+00   1.000000E+00
    54   3.750000E+00   1.000000E+00
    55   3.500000E+00   1.000000E+00
    56   3.250000E+00   1.000000E+00
    57   3.000000E+00   1.000000E+00
    58   2.750000E+00   1.000000E+00
    59   2.500000E+00   1.000000E+00
    60   2.250000E+00   1.000000E+00
    61   2.000000E+00   1.000000E+00
    62   1.750000E+00   1.000000E+00
    63   1.500000E+00   1.000000E+00
    64   1.250000E+00   1.000000E+00
    65   1.000000E+00   1.000000E+00
    66   7.500000E-01   1.000000E+00
    67   5.000000E-01   1.000000E+00
    68   2.500000E-01   1.000000E+00
    69   0.000000E+00   1.000000E+00
    70   0.000000E+00   1.250000E+00
    71   2.500000E-01   1.250000E+00
    72   5.000000E-01   1.250000E+00
    73   7.500000E-01   1.250000E+00
    74   1.000000E+00   1.250000E+00
    75   1.250000E+00   1.250000E+00
    76   1.500000E+00   1.250000E+00
    77   1.750000E+00   1.250000E+00
    78   2.000000E+00   1.250000E+00
    79   2.250000E+00   1.250000E+00
    80   2.500000E+00   1.250000E+00
    81   2.750000E+00   1.250000E+00
    82   3.000000E+00   1.250000E+00
    83   3.250000E+00   1.250000E+00
    84   3.500000E+00   1.250000E+00
    85   3.750000E+00   1.250000E+00
    86   4.000000E+00   1.250000E+00
    87   0.000000E+00   1.500000E+00
    88   2.500000E-01   1.500000E+00
    89   5.000000E-01   1.500000E+00
    90   7.500000E-01   1.500000E+00
    91   1.000000E+00   1.500000E+00
    92   1.250000E+00   1.500000E+00
    93   1.500000E+00   1.500000E+00
    94   1.750000E+00   1.500000E+00
    95   2.000000E+00   1.500000E+00
    96   2.250000E+00   1.500000E+00
    97   2.500000E+00   1.500000E+00
    98   2.750000E+00   1.500000E+00
    99   3.000000E+00   1.500000E+00
   100   3.250000E+00   1.500000E+00
   101   3.500000E+00   1.500000E+00
   102   3.750000E+00   1.500000E+00
   103   4.000000E+00   1.500000E+00
   104   0.000000E+00   1.750000E+00
   105   2.500000E-01   1.750000E+00
   106   5.000000E-01   1.750000E+00
   107   7.500000E-01   1.750000E+00
   108   1.000000E+00   1.750000E+00
   109   1.250000E+00   1.750000E+00
   110   1.500000E+00   1.750000E+00
   111   1.750000E+00   1.750000E+00
   112   2.000000E+00   1.750000E+00
   113   2.250000E+00   1.750000E+00
   114   2.500000E+00   1.750000E+00
   115   2.750000E+00   1.750000E+00
   116   3.000000E+00   1.750000E+00
   117   3.250000E+00   1.750000E+00
   118   3.500000E+00   1.750000E+00
   119   3.750000E+00   1.750000E+00
   120   4.000000E+00   1.750000E+00
   121   0.000000E+00   2.000000E+00
   122   2.500000E-01   2.000000E+00
   123   5.000000E-01   2.000000E+00
   124   7.500000E-01   2.000000E+00
   125   1.000000E+00   2.000000E+00
   126   1.250000E+00   2.000000E+00
   127   1.500000E+00   2.000000E+00
   128   1.750000E+00   2.000000E+00
   129   2.000000E+00   2.000000E+00
   130   2.250000E+00   2.000000E+00
   131   2.500000E+00   2.000000E+00
   132   2.750000E+00   2.000000E+00
   133   3.000000E+00   2.000000E+00
   134   3.250000E+00   2.000000E+00
   135   3.500000E+00   2.000000E+00
   136   3.750000E+00   2.000000E+00
   137   4.000000E+00   2.000000E+00
   138   0.000000E+00   2.250000E+00
   139   2.500000E-01   2.250000E+00
   140   5.000000E-01   2.250000E+00
   141   7.500000E-01   2.250000E+00
   142   1.000000E+00   2.250000E+00
   143   1.250000E+00   2.250000E+00
   144   1.500000E+00   2.250000E+00
   145   1.750000E+00   2.250000E+00
   146   2.000000E+00   2.250000E+00
   147   2.250000E+00   2.250000E+00
   148   2.500000E+00   2.250000E+00
   149   2.750000E+00   2.250000E+00
   150   3.000000E+00   2.250000E+00
   151   3.250000E+00   2.250000E+00
   152   3.500000E+00   2.250000E+00
   153   3.750000E+00   2.250000E+00
   154   4.000000E+00   2.250000E+00
   155   0.000000E+00   2.500000E+00
   156   2.500000E-01   2.500000E+00
   157   5.000000E-01   2.500000E+00
   158   7.500000E-01   2.500000E+00
   159   1.000000E+00   2.500000E+00
   160   1.250000E+00   2.500000E+00
   161   1.500000E+00   2.500000E+00
   162   1.750000E+00   2.500000E+00
   163   2.000000E+00   2.500000E+00
   164   2.250000E+00   2.500000E+00
   165   0.000000E+00   2.750000E+00
   166   2.500000E-01   2.750000E+00
   167   5.000000E-01   2.750000E+00
   168   7.500000E-01   2.750000E+00
   169   1.000000E+00   2.750000E+00
   170   1.250000E+00   2.750000E+00
   171   1.500000E+00   2.750000E+00
   172   1.750000E+00   2.750000E+00
   173   2.000000E+00   2.750000E+00
   174   2.250000E+00   2.750000E+00
   175   0.000000E+00   3.000000E+00
   176   2.500000E-01   3.000000E+00
   177   5.000000E-01   3.000000E+00
   178   7.500000E-01   3.000000E+00
   179   1.000000E+00   3.000000E+00
   180   1.250000E+00   3.000000E+00
   181   1.500000E+00   3.000000E+00
   182   1.750000E+00   3.000000E+00
   183   2.000000E+00   3.000000E+00
   184   2.250000E+00   3.000000E+00
   185   0.000000E+00   3.250000E+00
   186   2.500000E-01   3.250000E+00
   187   5.000000E-01   3.250000E+00
   188   7.500000E-01   3.250000E+00
   189   1.000000E+00   3.250000E+00
   190   1.250000E+00   3.250000E+00
   191   1.500000E+00   3.250000E+00
   192   1.750000E+00   3.250000E+00
   193   2.000000E+00   3.250000E+00
   194   2.250000E+00   3.250000E+00
   195   0.000000E+00   3.500000E+00
   196   2.500000E-01   3.500000E+00
   197   5.000000E-01   3.500000E+00
   198   7.500000E-01   3.500000E+00
   199   1.000000E+00   3.500000E+00
   200   1.250000E+00   3.500000E+00
   201   1.500000E+00   3.500000E+00
   202   1.750000E+00   3.500000E+00
   203   2.000000E+00   3.500000E+00
   204   2.250000E+00   3.500000E+00
   205   0.000000E+00   3.750000E+00
   206   0.000000E+00   4.000000E+00
   207   2.500000E-01   3.750000E+00
   208   2.500000E-01   4.000000E+00
   209   5.000000E-01   3.750000E+00
   210   5.000000E-01   4.000000E+00
   211   7.500000E-01   3.750000E+00
   212   7.500000E-01   4.000000E+00
   213   1.000000E+00   3.750000E+00
   214   1.000000E+00   4.000000E+00
   215   1.250000E+00   3.750000E+00
   216   1.250000E+00   4.000000E+00
   217   1.500000E+00   3.750000E+00
   218   1.500000E+00   4.000000E+00
   219   1.750000E+00   3.750000E+00
   220   1.750000E+00   4.000000E+00
   221   2.000000E+00   3.750000E+00
   222   2.000000E+00   4.000000E+00
   223   2.250000E+00   3.750000E+00
   224   2.250000E+00   4.000000E+00
   225   2.500000E+00   2.500000E+00
   226   2.500000E+00   2.750000E+00
   227   2.500000E+00   3.000000E+00
   228   2.500000E+00   3.250000E+00
   229   2.500000E+00   3.500000E+00
   230   2.500000E+00   3.750000E+00
   231   2.500000E+00   4.000000E+00
   232   2.750000E+00   2.500000E+00
   233   3.000000E+00   2.500000E+00
   234   3.250000E+00   2.500000E+00
   235   3.500000E+00   2.500000E+00
   236   3.750000E+00   2.500000E+00
   237   4.000000E+00   2.500000E+00
   238   2.750000E+00   2.750000E+00
   239   2.750000E+00   3.000000E+00
   240   2.750000E+00   3.250000E+00
   241   2.750000E+00   3.500000E+00
   242   2.750000E+00   3.750000E+00
   243   2.750000E+00   4.000000E+00
   244   3.000000E+00   2.750000E+00
   245   3.250000E+00   2.750000E+00
   246   3.500000E+00   2.750000E+00
   247   3.750000E+00   2.750000E+00
   248   4.000000E+00   2.750000E+00
   249   3.000000E+00   3.000000E+00
   250   3.000000E+00   3.250000E+00
   251   3.000000E+00   3.500000E+00
   252   3.000000E+00   3.750000E+00
   253   3.000000E+00   4.000000E+00
   254   3.250000E+00   3.000000E+00
   255   3.500000E+00   3.000000E+00
   256   3.750000E+00   3.000000E+00
   257   4.000000E+00   3.000000E+00
   258   3.250000E+00   3.250000E+00
   259   3.250000E+00   3.500000E+00
   260   3.250000E+00   3.750000E+00
   261   3.250000E+00   4.000000E+00
   262   3.500000E+00   3.250000E+00
   263   3.750000E+00   3.250000E+00
   264   4.000000E+00   3.250000E+00
   265   3.500000E+00   3.500000E+00
   266   3.750000E+00   3.500000E+00
   267   4.000000E+00   3.500000E+00
   268   3.500000E+00   3.750000E+00
   269   3.500000E+00   4.000000E+00
   270   3.750000E+00   3.750000E+00
   271   3.750000E+00   4.000000E+00
   272   4.000000E+00   3.750000E+00
   273   4.000000E+00   4.000000E+00


  Node      Code        Fixed Values
   69        10       0.000000  0.000000
   70        10       0.000000  0.000000
   87        10       0.000000  0.000000
  104        10       0.000000  0.000000
  121        10       0.000000  0.000000
  138        10       0.000000  0.000000
  155        10       0.000000  0.000000
  165        10       0.000000  0.000000
  175        10       0.000000  0.000000
  185        10       0.000000  0.000000
  195        10       0.000000  0.000000
  205        10       0.000000  0.000000
  206        10       0.000000  0.000000
    1        01       0.000000  0.000000
    2        01       0.000000  0.000000
    5        01       0.000000  0.000000
    7        01       0.000000  0.000000
    9        01       0.000000  0.000000
   11        01       0.000000  0.000000
   13        01       0.000000  0.000000
   15        01       0.000000  0.000000
   17        01       0.000000  0.000000
   19        01       0.000000  0.000000
   21        01       0.000000  0.000000
   23        01       0.000000  0.000000
   24        01       0.000000  0.000000


=============Element Properties=============

 Material No. =    1   Element Model:Q4                  

 Young Modulus =   1.000000E+00    Poiss Ratio =   3.000000E-01
 Thickness     =   1.000000E+00    Density     =   0.000000E+00
Loads                                                                                      1           0           0
   26    25.000     0.000
   39    25.000     0.000
   40    25.000     0.000
   53    25.000     0.000
   86    25.000     0.000
  103    25.000     0.000
  120    25.000     0.000
  137    25.000     0.000
  154    25.000     0.000
  237    25.000     0.000
  248    25.000     0.000
  257    25.000     0.000
  264    25.000     0.000
  267    25.000     0.000
  272    25.000     0.000
  273    12.500     0.000
      Total nodal forces for each element

    1       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    2       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    3       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    4       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    5       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    6       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    7       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    8       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
    9       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   10       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   11       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   12       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   13       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   14       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   15       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   16       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   17       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   18       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   19       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   20       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   21       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   22       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   23       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.25E+02  0.00E+00
            0.00E+00  0.00E+00
   24       0.00E+00  0.00E+00  0.25E+02  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   25       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   26       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   27       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   28       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   29       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   30       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   31       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   32       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   33       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   34       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   35       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   36       0.00E+00  0.00E+00  0.25E+02  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   37       0.00E+00  0.00E+00  0.25E+02  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   38       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   39       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   40       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   41       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   42       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   43       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   44       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   45       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   46       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   47       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   48       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   49       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.25E+02  0.00E+00
            0.00E+00  0.00E+00
   50       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   51       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   52       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   53       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   54       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   55       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   56       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   57       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   58       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   59       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   60       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   61       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   62       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   63       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   64       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   65       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   66       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   67       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   68       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   69       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   70       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   71       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   72       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   73       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   74       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   75       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   76       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   77       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   78       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
   79       0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
            0.00E+00  0.00E+00
